lightfm_no_components,lightfm_loss,lightfm_learning_rate,lightfm_epochs,lightfm_num_threads,lightfm_alpha,lightfm_random_state,lightfm_item_alpha,lightfm_user_alpha,precision@10,recall@20,ndcg@10,catalog_coverage@10,novelty@10,train_seconds
128,warp,0.05,50,4,1e-06,42,1e-06,1e-06,0.2562,0.06714113612639484,0.2522258562602844,0.9018621036738802,3.3653406039548375,123.54
64,bpr,0.05,60,4,1e-05,42,1e-05,1e-05,0.253,0.06748105347030102,0.2519436321253455,0.9129340714645193,3.357900553053018,83.42
32,warp,0.1,60,4,0.0001,42,0.0001,0.0001,0.2552,0.06747321906346784,0.25172936402003027,0.910417715148465,3.3582987643390174,64.72
64,warp,0.05,60,4,0.0001,42,0.0001,0.0001,0.25419999999999987,0.06741288978331542,0.2516114237979807,0.9094111726220433,3.3653582064942675,93.84
128,warp,0.1,60,4,1e-05,42,1e-05,1e-05,0.24839999999999993,0.06564042059896384,0.25157975504677355,0.9073980875691998,3.3640767439746435,127.86
32,bpr,0.1,80,4,1e-05,42,1e-05,1e-05,0.2512,0.06673675360854023,0.25110415142942993,0.8973326623049824,3.3567151858810704,78.15
128,warp,0.05,60,4,1e-06,42,1e-06,1e-06,0.25319999999999987,0.06696783718468556,0.25085725019440913,0.9119275289380976,3.3669276638938967,135.49
128,bpr,0.1,50,4,1e-05,42,1e-05,1e-05,0.24720000000000003,0.06596975048739075,0.2506689070467353,0.9033719174635129,3.3669103089360504,123.14
128,bpr,0.1,60,4,1e-06,42,1e-06,1e-06,0.2517999999999999,0.0679497766555719,0.25048602195391884,0.9079013588324106,3.3609149811745955,136.14
128,warp,0.1,80,4,1e-06,42,1e-06,1e-06,0.2525999999999998,0.06612232904547106,0.25047077511260024,0.8998490186210367,3.3579158843577823,154.68
64,bpr,0.1,60,4,1e-05,42,1e-05,1e-05,0.25219999999999976,0.06708783039009848,0.2503413254269068,0.9048817312531454,3.359880527259207,87.24
32,warp,0.1,50,4,1e-06,42,1e-06,1e-06,0.2522000000000002,0.06691412495303857,0.25015211434886897,0.9028686462003019,3.3631534800413254,57.82
64,bpr,0.1,50,4,1e-06,42,1e-06,1e-06,0.24779999999999985,0.06557360026481125,0.25008450240020075,0.9018621036738802,3.361475405315835,79.6
32,bpr,0.1,60,4,1e-06,42,1e-06,1e-06,0.2502,0.06622960500202003,0.25006067365135576,0.9079013588324106,3.3634766503092424,65.67
128,warp,0.1,50,4,0.0001,42,0.0001,0.0001,0.24859999999999982,0.06574573186166348,0.24977983631576262,0.9089079013588324,3.3644457308930034,113.19
128,bpr,0.05,50,4,1e-05,42,1e-05,1e-05,0.25160000000000016,0.06663567535020039,0.24940167070252608,0.894816305988928,3.3541663695930453,121.42
32,warp,0.1,80,4,0.0001,42,0.0001,0.0001,0.24839999999999976,0.06643731421563834,0.24898641905785468,0.9023653749370911,3.3607180944801143,74.07
64,warp,0.05,60,4,1e-05,42,1e-05,1e-05,0.25159999999999977,0.06740256276188686,0.24888466767632908,0.9068948163059889,3.366527045148415,95.64
32,bpr,0.05,80,4,1e-06,42,1e-06,1e-06,0.2517999999999999,0.06623940637699942,0.24877697592860823,0.9028686462003019,3.3705345211282287,74.63
32,warp,0.1,80,4,1e-06,42,1e-06,1e-06,0.24819999999999995,0.06555610113920986,0.24867794890046382,0.9018621036738802,3.36568486592317,70.83
128,bpr,0.1,60,4,1e-05,42,1e-05,1e-05,0.24859999999999985,0.0663190062594538,0.24857705008676487,0.8993457473578259,3.365430043678422,138.35
32,warp,0.05,50,4,1e-06,42,1e-06,1e-06,0.24959999999999985,0.06753299716206523,0.24855145344982676,0.9053850025163563,3.367655272201397,55.43
64,bpr,0.1,50,4,1e-05,42,1e-05,1e-05,0.25039999999999973,0.0663660737215054,0.24827114535452852,0.9089079013588324,3.363789774785347,82.11
64,warp,0.05,50,4,0.0001,42,0.0001,0.0001,0.2446,0.06519495571473469,0.24762980324495226,0.9048817312531454,3.3716157243018943,82.08
64,warp,0.1,80,4,1e-06,42,1e-06,1e-06,0.2497999999999997,0.06620314565189785,0.247472121833475,0.9028686462003019,3.3586959795720226,99.75
64,warp,0.1,50,4,0.0001,42,0.0001,0.0001,0.2495999999999999,0.06578026468893053,0.24733236979303053,0.8998490186210367,3.365005367181512,77.77
128,bpr,0.05,80,4,1e-06,42,1e-06,1e-06,0.24599999999999972,0.06677064488062516,0.24664621216987306,0.9033719174635129,3.3644441006335297,161.63
64,bpr,0.1,60,4,1e-06,42,1e-06,1e-06,0.24580000000000007,0.06701307566835871,0.24661870881049514,0.8998490186210367,3.3632578905180677,88.19
64,bpr,0.05,60,4,1e-06,42,1e-06,1e-06,0.24559999999999993,0.06556532944111727,0.24646264885346048,0.9058882737795672,3.3660395509563052,89.8
32,warp,0.1,50,4,1e-05,42,1e-05,1e-05,0.25079999999999997,0.06619517470294349,0.24635891736261967,0.9043784599899346,3.364651440585324,59.68
128,warp,0.1,60,4,0.0001,42,0.0001,0.0001,0.2465999999999999,0.06567140726989887,0.24626122127759,0.9114242576748868,3.3667849729218657,124.6
128,bpr,0.05,60,4,1e-06,42,1e-06,1e-06,0.24639999999999987,0.06577417919777395,0.24623505047862337,0.9038751887267237,3.358145309920175,135.94
64,warp,0.1,60,4,1e-05,42,1e-05,1e-05,0.24939999999999987,0.06671417905606399,0.24576784960188547,0.9094111726220433,3.3645014829314723,84.44
32,warp,0.05,50,4,0.0001,42,0.0001,0.0001,0.2459999999999999,0.06554204514201889,0.2454647940140512,0.8892803220936084,3.360445664358989,101.06
128,warp,0.1,50,4,1e-06,42,1e-06,1e-06,0.24680000000000013,0.06650029190443764,0.24495683129469137,0.9109209864116758,3.3665029864075375,110.47
64,warp,0.1,50,4,1e-06,42,1e-06,1e-06,0.24699999999999997,0.06488938318060342,0.24456001568700883,0.894816305988928,3.362644201907103,72.24
32,warp,0.05,80,4,1e-05,42,1e-05,1e-05,0.2475999999999998,0.06545291924619312,0.2444885747766107,0.9094111726220433,3.362582217951036,71.91
32,warp,0.05,50,4,1e-05,42,1e-05,1e-05,0.2455999999999997,0.06474729672846918,0.24413797749606814,0.9048817312531454,3.367389277542386,58.1
128,bpr,0.1,80,4,1e-05,42,1e-05,1e-05,0.24439999999999978,0.06650226151113424,0.2440629915631943,0.9053850025163563,3.361334459079984,163.58
64,warp,0.1,80,4,0.0001,42,0.0001,0.0001,0.24439999999999956,0.06711157562572677,0.24340734167614111,0.910417715148465,3.36463943273146,101.19
32,bpr,0.05,60,4,1e-05,42,1e-05,1e-05,0.24659999999999968,0.06591243656835126,0.24317767041423888,0.9068948163059889,3.3662318872621304,63.88
64,bpr,0.1,80,4,1e-06,42,1e-06,1e-06,0.24920000000000017,0.06598287067272107,0.24220003339992427,0.9063915450427781,3.364088371489974,106.06
64,bpr,0.05,80,4,1e-05,42,1e-05,1e-05,0.24319999999999994,0.0653392841685603,0.2416227891588234,0.914443885254152,3.372214979119723,105.02
128,bpr,0.05,50,4,1e-06,42,1e-06,1e-06,0.24399999999999972,0.06590789303903447,0.24044510753759443,0.9048817312531454,3.360625505564366,122.92
64,bpr,0.1,80,4,1e-05,42,1e-05,1e-05,0.24459999999999985,0.06576108819218178,0.2403446404541369,0.9099144438852541,3.364929553393728,108.04
64,bpr,0.05,50,4,1e-05,42,1e-05,1e-05,0.2441999999999997,0.06653372644629427,0.23931935906219828,0.8993457473578259,3.3702285195896913,75.2
32,bpr,0.1,80,4,0.0001,42,0.0001,0.0001,0.07780000000000027,0.019946197419420907,0.07794971339351307,0.6834423754403623,3.3946102751288825,73.92
128,bpr,0.05,60,4,0.0001,42,0.0001,0.0001,0.0774000000000002,0.019377722879741224,0.07638243350733356,0.7176648213387016,3.40314756309991,131.9
128,bpr,0.05,80,4,0.0001,42,0.0001,0.0001,0.0778000000000003,0.02032596733344655,0.07488003757457667,0.6985405133366884,3.4023325560638855,157.93
32,bpr,0.05,80,4,0.0001,42,0.0001,0.0001,0.07260000000000029,0.018398815680653723,0.07429551290195668,0.7206844489179668,3.395060125036248,72.97
128,bpr,0.1,50,4,0.0001,42,0.0001,0.0001,0.07460000000000032,0.019179607049427252,0.0742295591653176,0.5807750377453448,3.396504459580077,123.56
64,bpr,0.1,60,4,0.0001,42,0.0001,0.0001,0.07480000000000026,0.0194202629101036,0.07295926087033291,0.7070961248112733,3.3894240315487827,85.97
64,bpr,0.05,80,4,0.0001,42,0.0001,0.0001,0.0740000000000003,0.019316116088761572,0.0725182406100328,0.7101157523905385,3.400144944325999,103.88
32,bpr,0.05,60,4,0.0001,42,0.0001,0.0001,0.07320000000000021,0.01988525645842871,0.07208400317110704,0.7030699547055863,3.406021441357487,68.77
32,bpr,0.05,50,4,0.0001,42,0.0001,0.0001,0.07280000000000024,0.025202204076560333,0.07165714196455351,0.727730246602919,3.401905869394036,56.85
128,bpr,0.1,60,4,0.0001,42,0.0001,0.0001,0.07280000000000024,0.020047075396816563,0.07149063590645617,0.44036235530951184,3.418668740799305,138.32
64,bpr,0.05,50,4,0.0001,42,0.0001,0.0001,0.07080000000000022,0.01842369802321569,0.07045705630454908,0.712128837443382,3.3996842300055286,75.51
64,bpr,0.1,80,4,0.0001,42,0.0001,0.0001,0.07180000000000021,0.018701207912984918,0.07009390923647495,0.7126321087065929,3.395981962226259,99.15
64,bpr,0.1,50,4,0.0001,42,0.0001,0.0001,0.06940000000000024,0.018674839763266185,0.06988877618586027,0.7015601409159536,3.395926852044671,76.53
32,bpr,0.1,60,4,0.0001,42,0.0001,0.0001,0.07080000000000021,0.01967874630504638,0.06898417772566527,0.7126321087065929,3.3978941787926487,63.94
128,bpr,0.1,80,4,0.0001,42,0.0001,0.0001,0.07040000000000021,0.019156072940520817,0.06793884775802893,0.45697030699547053,3.35989232731878,165.21
32,bpr,0.1,50,4,0.0001,42,0.0001,0.0001,0.06700000000000021,0.017931422633275268,0.06749990552141973,0.7141419224962254,3.3880541423996395,57.38
128,bpr,0.05,50,4,0.0001,42,0.0001,0.0001,0.0672000000000002,0.018731780886977377,0.0674959755343466,0.7091092098641167,3.386053118768314,122.58
64,bpr,0.05,60,4,0.0001,42,0.0001,0.0001,0.06580000000000016,0.01779651904520649,0.06559081884365636,0.712128837443382,3.398127306090937,86.09
