id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,dichTen
4209,Boys,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,Disney Kids Boy's Green Mickey On Skates Kidswear,Áo thun trẻ em Disney Kids hình Mickey màu xanh lá cây trượt patin dành cho bé trai.
2615,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010.0,Sports,Nike Black Bleed Blue T-shirt,Áo thun Nike màu đen pha xanh dương
31102,Boys,Apparel,Topwear,Tshirts,Red,Summer,2012.0,Casual,Gini and jony Boys Printed Red T-shirt,Áo thun đỏ in hình Gini và Jony dành cho bé trai
18618,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Puma Men Team Essential Moonlight Steelblue Polo Tshirts,Áo Polo Puma Team Essential Moonlight Steelblue dành cho nam
7817,Men,Apparel,Topwear,Tshirts,Purple,Fall,2011.0,Casual,Proline Men Purple Striped Polo T-shirt,Áo polo nam Proline màu tím sọc
23973,Men,Apparel,Topwear,Tshirts,Purple,Fall,2011.0,Casual,Peter England Men Purple Printed T-shirt,Áo thun nam Peter England màu tím in họa tiết
4371,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Mickey Men's Pluto Order Comic Charcoal T-shirt,Áo thun nam Mickey màu than chì in hình Pluto và truyện tranh.
3082,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011.0,Casual,Probase Men's Cartoon Navy T-shirt,Áo thun nam Probase họa tiết hoạt hình màu xanh hải quân
24275,Men,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Quiksilver Men Basic White T-shirt,Áo thun trắng cơ bản dành cho nam của Quiksilver
28565,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Nike Men Air Bags Blue T-shirt,Áo thun Nike nam màu xanh dương có túi khí
9783,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,ADIDAS Men Bnce Hop White Tshirts,Áo thun nam ADIDAS Bnce Hop màu trắng
13232,Men,Apparel,Topwear,Tshirts,Orange,Fall,2011.0,Casual,Palm Tree Kids Boys Printed Orange Tshirts,Áo thun trẻ em màu cam in hình cây cọ dành cho bé trai.
31252,Men,Apparel,Topwear,Tshirts,Green,Summer,2012.0,Casual,Puma Men Dizzy Graphic Green T-shirt,Áo thun nam Puma Dizzy Graphic màu xanh lá cây
38605,Men,Apparel,Topwear,Tshirts,Yellow,Summer,2012.0,Casual,Nike Men Yellow Eligible Athlete T-shirt,Áo thun Nike nam màu vàng dành cho vận động viên đủ điều kiện
6551,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Sports,Nike Men's Miler Singlet Blue T-shirt,"Áo ba lỗ Nike Miler dành cho nam, màu xanh dương."
2861,Men,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,Inkfruit Men's I am Hooked Green T-shirt,Áo thun nam Inkfruit I am Hooked màu xanh lá cây
32768,Men,Apparel,Topwear,Tshirts,Grey,Spring,2013.0,Casual,Music Men Printed Grey T-shirt,Áo thun in hình Music Men màu xám
42394,Women,Apparel,Topwear,Tshirts,Purple,Summer,2012.0,Casual,Flying Machine Women Purple T-shirt,Áo thun nữ màu tím hiệu Flying Machine
30647,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Nike Men U Logo Black T-shirt,Áo thun nam Nike U Logo màu đen
23627,Men,Apparel,Topwear,Tshirts,White,Spring,2013.0,Casual,Beatles Men White Printed T-Shirt,Áo thun nam in hình Beatles màu trắng
14298,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Classic Polo Men Printed pack of 3 Tshirts,Bộ 3 áo thun nam Polo cổ điển in họa tiết.
33935,Men,Apparel,Topwear,Tshirts,Turquoise Blue,Summer,2012.0,Casual,ADIDAS Men Polo Turquoise Blue T-Shirt,Áo Polo nam ADIDAS màu xanh ngọc lam
4398,Men,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,Free Authority Men's Foil Raw Edge Washed Olive T-shirt,"Áo thun nam Free Authority viền thô, màu ô liu đã giặt."
31586,Men,Apparel,Topwear,Tshirts,Yellow,Summer,2012.0,Casual,Mark Taylor Men Printed Yellow T-shirt,Áo thun nam màu vàng in họa tiết hiệu Mark Taylor
44834,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Sports,Puma Men Black Training T-shirt,Áo thun tập luyện màu đen dành cho nam hiệu Puma
4315,Unisex,Apparel,Topwear,Tshirts,Brown,Summer,2011.0,Casual,Tantra Kid's Unisex Harappa Choco Brown Kidswear,Quần áo trẻ em unisex Tantra Kid's Harappa màu nâu sô cô la
34399,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Myntra Men Global Response Black T-shirt,Áo thun đen Myntra Men Global Response
15933,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Regent Polo Club Men Solid Blue Tshirt,Áo thun nam màu xanh trơn của câu lạc bộ polo Regent
35880,Boys,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Jungle Book Boys Royal White T-shirt,Áo thun trắng hoàng gia chủ đề Sách Rừng Xanh dành cho bé trai
2056,Men,Apparel,Topwear,Tshirts,Grey,Winter,2010.0,Casual,Lee Men's Ten Minutes to Midnight T-shirt,Áo thun nam Lee Ten Minutes to Midnight
2054,Men,Apparel,Topwear,Tshirts,Maroon,Winter,2010.0,Casual,Lee Men's Stone T-shirt,Áo thun nam Lee Stone
4402,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Billy Idol Men's Faceless Black T-shirt,Áo thun đen không mặt dành cho nam của Billy Idol
5442,Women,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Nike Women's Striped Polo Blue T-shirt,Áo polo kẻ sọc màu xanh dương dành cho nữ của Nike
41752,Boys,Apparel,Topwear,Tshirts,Yellow,Summer,2012.0,Casual,Doodle Boys Printed Yellow T-shirt,Áo thun vàng in hình Doodle Boys
29157,Boys,Apparel,Topwear,Tshirts,Pink,Summer,2012.0,Casual,United Colors of Benetton Boys Hopeland Pink T-shirt,Áo thun màu hồng Hopeland dành cho bé trai của United Colors of Benetton
14648,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Probase Men White Grafitti Black Tshirts,Áo thun nam Probase màu trắng họa tiết graffiti đen
32422,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,ADIDAS Men One Love Black T-shirt,Áo thun nam ADIDAS One Love màu đen
48448,Men,Apparel,Topwear,Tshirts,Purple,Summer,2012.0,Casual,French Connection Men Purple T-shirt,Áo thun nam màu tím hiệu French Connection
32924,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012.0,Casual,Status Quo Men Printed Navy Blue T-shirt,Áo thun nam Status Quo in họa tiết màu xanh hải quân
18245,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Manchester United Men Printed White Tshirt,Áo thun nam Manchester United màu trắng in hình
31148,Boys,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Gini and Jony Boys Printed White T-shirt,Áo thun trắng in hình Gini và Jony dành cho bé trai
4359,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Free Authority Men's Melting Records Black T-shirt,Áo thun đen nam Free Authority Melting Records
23638,Men,Apparel,Topwear,Tshirts,Green,Summer,2012.0,Casual,DC Comics Men Green T-shirt,Áo thun nam màu xanh lá cây của DC Comics
13429,Men,Apparel,Topwear,Tshirts,Maroon,Summer,2011.0,Casual,United Colors of Benetton Men Printed Maroon Tshirts,Áo thun nam in họa tiết màu đỏ tía của United Colors of Benetton
38152,Women,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Wildcraft Women White T-shirt,Áo thun trắng Wildcraft dành cho nữ
6063,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,UCB Men's Roundneck Take Good Look White T-shirt,Áo thun nam cổ tròn màu trắng UCB Take Good Look
27445,Women,Apparel,Topwear,Tshirts,Coffee Brown,Winter,2015.0,Casual,Jockey Women Coffee Brown T-shirt,Áo thun nữ Jockey màu nâu cà phê
2484,Women,Apparel,Topwear,Tshirts,White,Fall,2010.0,Sports,Puma Women Spagetti White Top,Áo hai dây màu trắng Puma dành cho nữ
32970,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Angry Birds Men Printed Black T-shirt,Áo thun nam in hình Angry Birds màu đen
6512,Men,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,ADIDAS Men's Light Green T-shirt,Áo thun nam màu xanh lá nhạt ADIDAS
34314,Men,Apparel,Topwear,Tshirts,Orange,Summer,2012.0,Casual,Myntra Men Orange Urban T-shirt,Áo thun nam Myntra màu cam phong cách đô thị
25504,Boys,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Doodle Kids Boys Soccer Blue T-Shirt,Áo thun bóng đá màu xanh dương dành cho bé trai của Doodle Kids
33937,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,ADIDAS Men Polo Black T-shirt,Áo Polo nam màu đen ADIDAS
38971,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Arrow New York Men Grey T-shirt,Áo thun nam màu xám Arrow New York
2307,Women,Apparel,Topwear,Tshirts,Purple,Fall,2010.0,Sports,Nike Women Purple Polo T-shirt,Áo polo nữ Nike màu tím
48406,Men,Apparel,Topwear,Tshirts,Cream,Summer,2012.0,Casual,French Connection Men Cream Striped T-shirt,Áo thun nam kẻ sọc màu kem hiệu French Connection
11363,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,United Colors of Benetton Men Solid Black Tshirt,Áo thun nam màu đen trơn hiệu United Colors of Benetton
38494,Boys,Apparel,Topwear,Tshirts,Green,Summer,2012.0,Casual,Gini and Jony Boys United Green T-shirt,Áo thun xanh lá cây Gini và Jony Boys United
6758,Men,Apparel,Topwear,Tshirts,Red,Summer,2011.0,Casual,Timberland Men's Linear Logo Red T-shirt,Áo thun nam Timberland Linear Logo màu đỏ
19581,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,United Colors of Benetton Men Printed White Tshirt,Áo thun nam màu trắng in họa tiết hiệu United Colors of Benetton
15475,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Puma Men Logo Blue Tshirts,Áo thun nam Puma màu xanh dương có logo.
27444,Women,Apparel,Topwear,Tshirts,Black,Fall,2015.0,Casual,Jockey Women Black T-shirt,Áo thun đen Jockey dành cho nữ
26246,Men,Apparel,Topwear,Tshirts,Green,Summer,2012.0,Casual,Proline Men Green Polo Tshirt,Áo Polo nam màu xanh lá cây Proline
26725,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Puma Men Large Logo Graphic Black T-shirt,Áo thun nam Puma in hình logo lớn màu đen
12054,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Spykar Men Printed White T-Shirts,Áo thun nam Spykar màu trắng in họa tiết
40267,Men,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Scullers Men Striped White T-shirt,Áo thun trắng sọc dành cho nam của đội Scullers
4780,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011.0,Sports,ADIDAS Women's Balance Pink T-shirt,Áo thun nữ ADIDAS Balance màu hồng
3769,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Status Quo Men's Blue Polo T-shirt,Áo polo nam màu xanh dương hiệu Status Quo
3991,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Mr.Men Men's Wave Rider White T-shirt,Áo thun nam Mr.Men Wave Rider màu trắng
11778,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Lee Men Solid Grey Tshirts,Áo thun nam màu xám trơn hiệu Lee
29019,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012.0,Casual,ADIDAS Men Color Block Navy Blue T-shirt,Áo thun nam ADIDAS phối màu xanh navy
7006,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,s.Oliver Men's Sound Rebels Black T-shirt,Áo thun đen nam S.Oliver Sound Rebels
39003,Boys,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Gini and Jony Boys Unit White T-shirt,Áo thun trắng Gini và Jony Boys Unit
53804,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Puma Men Black T-shirt,Áo thun đen nam Puma
33939,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,ADIDAS Men Black T-shirt,Áo thun nam màu đen ADIDAS
16913,Men,Apparel,Topwear,Tshirts,Charcoal,Fall,2011.0,Casual,Mr. Men Men Printed Grey Tshirt,Áo thun nam in họa tiết màu xám hiệu Mr. Men
3410,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Myntra Men's Lazy White T-shirt,Áo thun trắng nam Myntra Lazy
15190,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Casual,Arrow Sport Men Solid Navy Blue Polo Tshirts,Áo Polo nam Arrow Sport màu xanh hải quân trơn
15283,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Ed Hardy Men Eagle Print Blue Tshirts,Áo thun nam Ed Hardy in hình đại bàng màu xanh dương
17497,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Classic Polo Men Stripes Grey Polo T-Shirt,Áo Polo nam cổ điển kẻ sọc màu xám
8275,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Mr.Men Men's Coral Red T-shirt,Áo thun nam màu đỏ san hô hiệu Mr.Men
3713,Men,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,Lee Men Green Polo T-shirt,Áo polo nam Lee màu xanh lá cây
2243,Men,Apparel,Topwear,Tshirts,White,Fall,2010.0,Sports,ADIDAS Men Stripe Polo White Polo T-shirt,Áo Polo nam kẻ sọc ADIDAS màu trắng
16191,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Puma Men Graphic White TShirt,Áo thun nam Puma màu trắng in hình
34357,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Myntra Men Blue Prayer T-shirt,Áo thun nam Myntra màu xanh dương in hình lời cầu nguyện
6170,Men,Apparel,Topwear,Tshirts,Purple,Summer,2011.0,Casual,Lee Men's Guns Crownjewel Purple T-shirt,Áo thun nam Lee Guns Crownjewel màu tím
32628,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Sports,Nike Men Black Polo T-shirt,Áo Polo nam Nike màu đen
20334,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Mr.Men Men Printed Blue Tshirt,Áo thun nam in họa tiết màu xanh dương hiệu Mr.Men
11008,Women,Apparel,Topwear,Tshirts,Cream,Fall,2011.0,Casual,Inkfruit Women Behind Cream Tshirts,Áo thun Inkfruit Women Behind Cream
3845,Men,Apparel,Topwear,Tshirts,Brown,Summer,2011.0,Casual,Wrangler Men's Wild Horse Brown T-shirt,Áo thun nam Wrangler Wild Horse màu nâu
3364,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Myntra Men's Brain Blue T-shirt,Áo thun nam Myntra Brain Blue
1984,Women,Apparel,Topwear,Tshirts,White,Fall,2010.0,Sports,ADIDAS Women Graphic White T-shirt,Áo thun nữ Adidas màu trắng in họa tiết
2680,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Inkfruit Men's Indian Rule Blue T-shirt,Áo thun nam Inkfruit Indian Rule màu xanh dương
4192,Boys,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,Disney Kids Boy's Green Naughty Donald Kidswear,Áo trẻ em Disney Kids màu xanh lá cây hình Donald nghịch ngợm
12847,Boys,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Ant Kids Boys National Champion Black Tshirts,Áo thun đen Ant Kids Boys National Champion
6995,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,s.Oliver Men's Line Printed Dark Grey T-shirt,Áo thun nam S.Oliver màu xám đậm in họa tiết
30144,Women,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Flying Machine Women Printed Black T-shirt,Áo thun nữ in hình máy bay màu đen
3788,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Basics Men White & Blue Striped Polo T-shirt,Áo Polo nam Basics kẻ sọc trắng xanh
15606,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Nike Men Training Grey Tshirts,Áo thun tập luyện màu xám dành cho nam của Nike
2092,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010.0,Sports,ADIDAS Mens Polo Blue Polo T-shirt,Áo Polo nam ADIDAS màu xanh dương
19612,Women,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,United Colors of Benetton Women Solid Blue Tshirt,Áo thun nữ màu xanh trơn hiệu United Colors of Benetton
3120,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Probase Men's Freestyler Turquoise T-shirt,Áo thun Probase Freestyler màu xanh ngọc dành cho nam
2340,Men,Apparel,Topwear,Tshirts,Purple,Fall,2010.0,Casual,Reebok Men Plum Shiamak Purple T-shirt,Áo thun Reebok nam màu tím Plum Shiamak
19789,Men,Apparel,Topwear,Tshirts,Orange,Winter,2016.0,Casual,U.S. Polo Assn. Men Solid Orange Tshirt,Áo thun nam màu cam trơn hiệu U.S. Polo Assn.
2062,Men,Apparel,Topwear,Tshirts,Grey,Winter,2010.0,Casual,Lee Mens  T-shirt,Áo thun nam Lee
5506,Women,Apparel,Topwear,Tshirts,Yellow,Summer,2011.0,Casual,Nike Women's Yellow Casual T-shirt,Áo thun nữ Nike màu vàng kiểu dáng thường ngày
32971,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Angry Birds Men Printed Blue T-shirt,Áo thun nam in hình Angry Birds màu xanh dương
27353,Women,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Tantra Women Jimmo White T-shirt,Áo thun trắng Tantra Women Jimmo
11024,Women,Apparel,Topwear,Tshirts,Purple,Fall,2011.0,Casual,Wrangler Women Purple T-shirt,Áo thun nữ màu tím hiệu Wrangler
24269,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Quiksilver Men Grey Printed T-shirt,Áo thun nam Quiksilver màu xám in họa tiết
25921,Women,Apparel,Topwear,Tshirts,Green,Summer,2012.0,Casual,Femella Women Lime Green T-shirt,Áo thun nữ Femella màu xanh lá chanh
38637,Men,Apparel,Topwear,Tshirts,Red,Summer,2012.0,Casual,Nike Men Red Delhi T-shirt,Áo thun Nike nam màu đỏ Delhi
10871,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Wrangler Men Dirtcross Grey T-Shirts,Áo thun nam Wrangler Dirtcross màu xám
40044,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,ADIDAS Men Black T-shirt,Áo thun nam màu đen ADIDAS
3926,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Wrangler Men's Wanderer's Dream Sky T-shirt,Áo thun nam Wrangler Wanderer's Dream Sky
19110,Men,Apparel,Topwear,Tshirts,Beige,Winter,2016.0,Casual,Campbell Men Pack of 3 Solid Tshirts,Bộ 3 áo thun trơn nam hiệu Campbell
28928,Men,Apparel,Topwear,Tshirts,Charcoal,Summer,2012.0,Casual,Mr. Men Printed Charcoal T-shirt,Áo thun in hình màu than chì hiệu Mr. Men
7607,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Nike Men's FCB Core Black SS T-shirt,Áo thun ngắn tay Nike FCB Core Black dành cho nam
38803,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Marvel Men Blue Printed T-shirt,Áo thun nam Marvel màu xanh in hình
36737,Women,Apparel,Topwear,Tshirts,Green,Summer,2012.0,Casual,Spykar Women Cult Green T-shirt,Áo thun nữ Spykar Cult màu xanh lá cây
33947,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012.0,Casual,ADIDAS Men Navy Blue & White Polo T-shirt,Áo Polo nam ADIDAS màu xanh hải quân và trắng
7297,Men,Apparel,Topwear,Tshirts,Brown,Fall,2011.0,Casual,Jimi Hendrix Men's Jimi Experience Brown Melange T-shirt,Áo thun nam Jimi Hendrix Jimi Experience màu nâu pha trộn
1906,Men,Apparel,Topwear,Tshirts,Cream,Winter,2010.0,Casual,FIFA Mens 1905 Football Federation T-shirt,Áo thun Liên đoàn bóng đá FIFA dành cho nam năm 1905
3519,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Myntra Men's I have Multiple Personalities White T-shirt,"Áo thun trắng nam Myntra ""Tôi có nhiều nhân cách"""
5153,Women,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Wrangler Women's Side Paisley White T-shirt,Áo thun nữ Wrangler họa tiết Paisley màu trắng.
58734,Men,Apparel,Topwear,Tshirts,Red,Fall,2012.0,Sports,PUMA Men Red Printed T-shirt,Áo thun nam PUMA màu đỏ in họa tiết
9778,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,ADIDAS Men  White Polo Tshirts,Áo Polo nam màu trắng ADIDAS
4042,Unisex,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Sports,Rajasthan Royals Kids Authentic Replica Cricket Jersey,Áo đấu cricket trẻ em Rajasthan Royals phiên bản chính hãng
14922,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Mr. Men Men Sleep Placid Blue Tshirts,Áo thun nam Mr. Men Sleep Placid Blue
20670,Men,Apparel,Topwear,Tshirts,Turquoise Blue,Fall,2011.0,Casual,Classic Polo Men Striped Turquoise Blue Tshirt,Áo thun Polo nam cổ điển kẻ sọc màu xanh ngọc lam
33206,Women,Apparel,Topwear,Tshirts,Green,Summer,2012.0,Casual,Sepia Women Printed Green T-shirt,Áo thun nữ màu xanh lá cây in họa tiết Sepia
